URL,Review
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,My kid loves it.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"GREAT 
EXPERIENCE 
ALWAYS"
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,It was great. Asked for sauce but they didn't include.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,So delicious. Always authentic and fresh. Can't say enough good things about them
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,One of my absolute favorites
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"Good food, nice people, good prices."
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,The food was good just a little salty
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,The food was good and still warm when delivered! Great job!!
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,Great taste! Good ingredients. Presentation appealing.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,Some of the chicken in the chicken platter was overcooked. The food was warm at best because they made it too early before the driver arrived to pick it up.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,2 items missing from my order
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,We love Falafel corner but they often forget to remove onions from the wraps when requested.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"I will still continue to order from here because you get a lot of good food and it is at a reasonable price. But, this is the second time I have ordered from them and they have messed up on the order. They should double check the order before bagging it."
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"Good food, good price"
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"The Greek salad was big for the price! Not a big fan of the dressing, though. Gyro was delicious!"
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"I will always order from here. Good quality, tasty, fresh food."
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"Good food, but fries were a bit stale for the order"
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"I love this place and order from them a lot...good food, fresh, and hot. Wish the driver remembered to ring the bell so it wasn't sitting outside after he delivered it."
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,The only issue I had was that the bag was open enough to have flies get in my food.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,One of my favorite restaurants to order from!
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,Love it! Best dolmas in town.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,I eat here all the time. I like it.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,Everything was great
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"There is a reason this is one of my go to spots...fresh, hot, and filling tasty food for a decent price!"
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,We LOVE it! Always delicious and great portions
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,"Always a go to spot for me. Food was delicious, plenty, and hot!"
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,Great food. Order was nice and warm.
https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705,This was the best tasting falafel I have ever had before. I have ordered falafel from many restaurants in the past and this is the supreme falafel!— not to mention how remarkably tasty the gyros chicken and dolmas were
