Restaurant Name,Item Name,Price
Skip's Fish & Chicken ( Truxel Rd),4 Piece Fish Nuggets,$3.90 
Skip's Fish & Chicken ( Truxel Rd),4 Piece Chicken Bites,$5.20 
Skip's Fish & Chicken ( Truxel Rd),1 Piece Cod,$4.55 
Skip's Fish & Chicken ( Truxel Rd),1 Piece Chicken Tender,$4.55 
Skip's Fish & Chicken ( Truxel Rd),1 Piece Red Snapper,$4.55 
Skip's Fish & Chicken ( Truxel Rd),3 Piece Oysters,$9.10 
Skip's Fish & Chicken ( Truxel Rd),1 Piece Tilapia,$4.55 
Skip's Fish & Chicken ( Truxel Rd),Peach Cobbler,$7.79 
Skip's Fish & Chicken ( Truxel Rd),Fasto Banana Pudding,$5.84 
Skip's Fish & Chicken ( Truxel Rd),Pecan Pie,$7.14 
Skip's Fish & Chicken ( Truxel Rd),Sweet Potato Pie,$7.14 
Skip's Fish & Chicken ( Truxel Rd),Slice Birthday Cake,$7.14 
Skip's Fish & Chicken ( Truxel Rd),Slice Strawberry Cake,$7.14 
Skip's Fish & Chicken ( Truxel Rd),Slice Chocolate Cake,$7.14 
Skip's Fish & Chicken ( Truxel Rd),Slice Oreo Cake,$7.14 
Chili's,Triple Dipper®,$20.89+
Chili's,Guiltless Sirloin* - 6 oz.,$20.29 
Chili's,Ultimate Smokehouse Combo,$30.39+
Chili's,Smokehouse Combo,$27.19+
Chili's,Ultimate Cajun Pasta,$24.69 
Chili's,Cajun Pasta,$20.79+
Chili's,Ancho Salmon,$26.09+
Chili's,Chipotle Fresh Mex Bowl,$19.89+
Chili's,Margarita Grilled Chicken,$20.69+
Popeyes,Flounder Fish Sandwich,$8.39 
Popeyes,Flounder Fish Sandwich Combo,$11.99 
Popeyes,Flounder Fish Sandwich Large Combo,$14.39 
Popeyes,Surf N Turf,$6.59 
Popeyes,Shrimp Tackle Box,$8.39+
Popeyes,¼ Pound Popcorn Shrimp*,$11.79 
Popeyes,¼ Pound Popcorn Shrimp Combo*,$14.79+
Popeyes,Wing Sauces,$0.90 
Popeyes,Dipping Sauces,$0.25 
Popeyes,Homestyle Mac & Cheese,$5.19+
Popeyes,Cajun Fries,$5.19+
Popeyes,Mashed Potatoes with Cajun Gravy,$5.19+
Popeyes,Red Beans & Rice,$5.19+
Popeyes,Coleslaw,$5.19+
Popeyes,Biscuit,$1.59+
Taco Bell,Discovery Luxe Box,$12.18+
Taco Bell,Classic Luxe Box,$7.30+
Taco Bell,Supreme® Luxe Box,$9.74+
Taco Bell,Cantina Chicken Crispy Taco Meal,$12.18+
Taco Bell,Cantina Chicken Burrito Meal,$14.62+
Taco Bell,Cantina Chicken Quesadilla Meal,$14.62+
Taco Bell,Steak Grilled Cheese Burrito Combo,$12.91+
Taco Bell,Mexican Pizza Combo,$15.84+
Taco Bell,Chicken Quesadilla Combo,$14.62+
Taco Bell,Nachos BellGrande® Combo,$15.72+
Taco Bell,2 Chicken Chalupas Supreme Combo,$17.55+
Taco Bell,Crunchwrap Supreme® Combo,$14.62+
Taco Bell,3 Crunchy Tacos Combo,$10.96+
Taco Bell,3 Crunchy Tacos Supreme® Combo,$14.62+
Taco Bell,3 Doritos® Locos Tacos Combo,$14.50+
Taco Bell,3 Doritos® Locos Tacos Supreme Combo,$16.70+
Taco Bell,3 Soft Tacos Combo,$10.96+
Taco Bell,3 Soft Tacos Supreme® Combo,$14.62+
Taco Bell,Burrito Supreme® Combo,$14.87+
Jersey Mike's,#10 Tuna Fish,$13.01+
Panera Bread,NEW Rustic Baked Potato Soup,$11.39+
Panera Bread,Tuna Salad Sandwich,$14.29+
Panera Bread,Cranberry Walnut Chicken Salad Sandwich,$13.69+
Panera Bread,Chipotle Chicken Avo Melt,$16.59+
Panera Bread,Chicken Roma Asiago Bagel Stack,$9.89+
Panera Bread,Mediterranean Veggie & Creamy Tomato Soup,$11.19 
Panera Bread,Spicy Steak Asiago Bagel Stack,$9.89+
Panera Bread,Turkey & Cheddar Sandwich & Cream of Chicken & Wild Rice Soup,$11.19 
Panera Bread,Premium Family Feast,$49.89 
Panera Bread,Grilled Cheese & Creamy Tomato Soup,$11.19 
Panera Bread,Zesty Tuscan Asiago Bagel Stack,$9.89+
Panera Bread,Premium Family Feast with Cookies,$54.89 
Panera Bread,Mediterranean Veggie,$11.79+
Panera Bread,Ciabatta Cheesesteak,$17.89+
Panera Bread,Spicy Fiesta Chicken,$16.59+
