Restaurant Name,URL
Bento Box Midtown,https://www.grubhub.com/restaurant/bento-box-midtown-1600-k-st-sacramento/6055424
Roberta's Cocina Mexican,https://www.grubhub.com/restaurant/robertas-cocina-mexican-5635-freeport-blvd-sacramento/1111327
McDonald's,https://www.grubhub.com/restaurant/mcdonalds-4444-chiles-rd-davis/2457649
Wendy's,https://www.grubhub.com/restaurant/wendys-125-e-dorset-dr-dixon/5289648
Nick the Greek,https://www.grubhub.com/restaurant/nick-the-greek-206-e-st-davis/8708496
Sizzler,https://www.grubhub.com/restaurant/sizzler-2901-advantage-way-sacramento/2037891
Pooja Indian Grill,https://www.grubhub.com/restaurant/pooja-indian-grill-1223-merkeley-ave-west-sacramento/6513856
MOD Pizza (West Sacramento),https://www.grubhub.com/restaurant/mod-pizza-west-sacramento-771-ikea-ct-west-sacramento/4485632
Chada Thai Cuisine,https://www.grubhub.com/restaurant/chada-thai-cuisine-1624-broadway-sacramento/1451398
Beach Hut Deli,https://www.grubhub.com/restaurant/beach-hut-deli-711-k-st-sacramento/7538408
Cornerstone Cafe & Bar,https://www.grubhub.com/restaurant/cornerstone-cafe--bar-1617-sacramento-ave-west-sacramento/2793340
Burger King,https://www.grubhub.com/restaurant/burger-king-2026-lyndell-terrace-davis/2131972
Satori Sushi,https://www.grubhub.com/restaurant/satori-sushi-2550-w-el-camino-ave-sacramento/2941825
The Meltdown,https://www.grubhub.com/restaurant/the-meltdown-1250-stratford-ave-dixon/4311888
Pizza Guys,https://www.grubhub.com/restaurant/pizza-guys-1455-ary-ln-dixon/3091206
T & Z Chinese Restaurant,https://www.grubhub.com/restaurant/t--z-chinese-restaurant-2550-w-el-camino-ave-sacramento/3185117
Del Taco,https://www.grubhub.com/restaurant/del-taco-841-harbor-blvd-west-sacramento/9034976
Pete's 7,https://www.grubhub.com/restaurant/petes-7-828-j-st-sacramento/2949140
Delish Pizza,https://www.grubhub.com/restaurant/delish-pizza-2200-16th-st-sacramento/2930067
Petra Greek Midtown,https://www.grubhub.com/restaurant/petra-greek-midtown-1122-16th-st-sacramento/6396672
Calzone Life,https://www.grubhub.com/restaurant/calzone-life-800-harbor-blvd-west-sacramento/2719996
Buffalo Pizza & Ice Cream,https://www.grubhub.com/restaurant/buffalo-pizza--ice-cream-2600-21st-st-sacramento/2031294
Buddha Belly Burgers,https://www.grubhub.com/restaurant/buddha-belly-burgers-1901-s-st-sacramento/6732616
Jack in the Box,https://www.grubhub.com/restaurant/jack-in-the-box-337-g-st-davis/2455132
Woodstock's Pizza Davis,https://www.grubhub.com/restaurant/woodstocks-pizza-davis-238-g-st-davis/559871
Pizza Twist,https://www.grubhub.com/restaurant/pizza-twist-3511-del-paso-rd-sacramento/6126736
SUBWAY®,https://www.grubhub.com/restaurant/subway-1300-e-covell-blvd--ste-c-davis/2786311
Cenarios Pizza of Dixon,https://www.grubhub.com/restaurant/cenarios-pizza-of-dixon-1160-pitt-school-rd-dixon/7649912
Ju Hachi,https://www.grubhub.com/restaurant/ju-hachi-1730-s-st-sacramento/1718518
Pizza Guys,https://www.grubhub.com/restaurant/pizza-guys-505-l-st-davis/313258
Hefty Burgers,https://www.grubhub.com/restaurant/hefty-burgers-1640-w-capitol-ave-west-sacramento/5776512
Wienerschnitzel,https://www.grubhub.com/restaurant/wienerschnitzel-2961-advantage-way-sacramento/3304630
Ruchi Indian Cuisine,https://www.grubhub.com/restaurant/ruchi-indian-cuisine-2600-gateway-oaks-drive-sacramento/10518576
Raku Sushi,https://www.grubhub.com/restaurant/raku-sushi-805-harbor-blvd-west-sacramento/1039990
Quickly Sacramento,https://www.grubhub.com/restaurant/quickly-sacramento-2100-16th-st-sacramento/5421344
Cafeteria15L,https://www.grubhub.com/restaurant/cafeteria15l-1116-15th-st-sacramento/2169526
Chevy's Fresh Mex,https://www.grubhub.com/restaurant/chevys-fresh-mex-1369-garden-hwy-sacramento/864004
Chitas Taqueria,https://www.grubhub.com/restaurant/chitas-taqueria-2019-q-st-sacramento/5591720
Curry Kabab Paradise,https://www.grubhub.com/restaurant/curry-kabab-paradise-705-harbor-pointe-pl-west-sacramento/2709789
Chando's Tacos,https://www.grubhub.com/restaurant/chandos-tacos-2530-boatman-ave-west-sacramento/2644614
Cenarios Pizza Davis,https://www.grubhub.com/restaurant/cenarios-pizza-davis-1300-e-covell-blvd-davis/8749232
Morton's The Steakhouse,https://www.grubhub.com/restaurant/mortons-the-steakhouse-621-capitol-mall-sacramento/2046209
Il Fornaio- Sacramento,https://www.grubhub.com/restaurant/il-fornaio--sacramento-400-capitol-mall-sacramento/4021072
TOMO Tea House,https://www.grubhub.com/restaurant/tomo-tea-house-500-1st-st-davis/7935760
Nenas Mexican Cuisine,https://www.grubhub.com/restaurant/nenas-mexican-cuisine-232-jibboom-st-sacramento/7949576
Jimboy's Tacos #350,https://www.grubhub.com/restaurant/jimboys-tacos-350-750-harbor-blvd-west-sacramento/7687664
SS CURREY EXPRESS Indian Cuisine,https://www.grubhub.com/restaurant/ss-currey-express-indian-cuisine-115-east-dorset-drive-ste-b-dixon/7320104
IHOP,https://www.grubhub.com/restaurant/ihop-1745-cowell-blvd-davis/2416051
Joe's Crab Shack,https://www.grubhub.com/restaurant/joes-crab-shack-1210-front-st-sacramento/996911
Creamy's by Cayla Jordan,https://www.grubhub.com/restaurant/creamys-by-cayla-jordan-1610-r-st-sacramento/2730398
